goos: linux
goarch: amd64
pkg: routerbench
cpu: 13th Gen Intel(R) Core(TM) i7-13700H
BenchmarkParallel/static/stdlib-20         	 5653095	        61.45 ns/op	       0 B/op	       0 allocs/op
BenchmarkParallel/static/stdlib-20         	 5576803	        64.75 ns/op	       0 B/op	       0 allocs/op
BenchmarkParallel/static/stdlib-20         	 5767466	        65.77 ns/op	       0 B/op	       0 allocs/op
BenchmarkParallel/static/stdlib-20         	 5215549	        64.89 ns/op	       0 B/op	       0 allocs/op
BenchmarkParallel/static/stdlib-20         	 5663791	        63.92 ns/op	       0 B/op	       0 allocs/op
BenchmarkParallel/static/stdlib-20         	 5537396	        65.00 ns/op	       0 B/op	       0 allocs/op
BenchmarkParallel/static/compat-20         	 5475728	        67.79 ns/op	       0 B/op	       0 allocs/op
BenchmarkParallel/static/compat-20         	 5427859	        67.09 ns/op	       0 B/op	       0 allocs/op
BenchmarkParallel/static/compat-20         	 5249102	        65.69 ns/op	       0 B/op	       0 allocs/op
BenchmarkParallel/static/compat-20         	 5479291	        69.22 ns/op	       0 B/op	       0 allocs/op
BenchmarkParallel/static/compat-20         	 5289072	        66.56 ns/op	       0 B/op	       0 allocs/op
BenchmarkParallel/static/compat-20         	 5243401	        67.78 ns/op	       0 B/op	       0 allocs/op
BenchmarkParallel/static/mux-20            	100000000	         3.849 ns/op	       0 B/op	       0 allocs/op
BenchmarkParallel/static/mux-20            	93533946	         3.718 ns/op	       0 B/op	       0 allocs/op
BenchmarkParallel/static/mux-20            	94023426	         3.805 ns/op	       0 B/op	       0 allocs/op
BenchmarkParallel/static/mux-20            	95250240	         3.877 ns/op	       0 B/op	       0 allocs/op
BenchmarkParallel/static/mux-20            	94849938	         3.824 ns/op	       0 B/op	       0 allocs/op
BenchmarkParallel/static/mux-20            	97030070	         3.696 ns/op	       0 B/op	       0 allocs/op
BenchmarkParallel/static/mux-plain-20      	97118440	         3.741 ns/op	       0 B/op	       0 allocs/op
BenchmarkParallel/static/mux-plain-20      	94488411	         3.832 ns/op	       0 B/op	       0 allocs/op
BenchmarkParallel/static/mux-plain-20      	89577105	         3.785 ns/op	       0 B/op	       0 allocs/op
BenchmarkParallel/static/mux-plain-20      	90314928	         3.884 ns/op	       0 B/op	       0 allocs/op
BenchmarkParallel/static/mux-plain-20      	93004533	         3.814 ns/op	       0 B/op	       0 allocs/op
BenchmarkParallel/static/mux-plain-20      	92464834	         3.847 ns/op	       0 B/op	       0 allocs/op
BenchmarkParallel/static/chi-20            	 2825212	       121.6 ns/op	     368 B/op	       2 allocs/op
BenchmarkParallel/static/chi-20            	 2966851	       119.2 ns/op	     368 B/op	       2 allocs/op
BenchmarkParallel/static/chi-20            	 2779047	       121.2 ns/op	     368 B/op	       2 allocs/op
BenchmarkParallel/static/chi-20            	 3033968	       119.8 ns/op	     368 B/op	       2 allocs/op
BenchmarkParallel/static/chi-20            	 3018709	       121.5 ns/op	     368 B/op	       2 allocs/op
BenchmarkParallel/static/chi-20            	 2941852	       121.1 ns/op	     368 B/op	       2 allocs/op
BenchmarkParallel/static/httprouter-20     	130751463	         2.804 ns/op	       0 B/op	       0 allocs/op
BenchmarkParallel/static/httprouter-20     	126369634	         2.883 ns/op	       0 B/op	       0 allocs/op
BenchmarkParallel/static/httprouter-20     	127109070	         2.835 ns/op	       0 B/op	       0 allocs/op
BenchmarkParallel/static/httprouter-20     	130181793	         2.818 ns/op	       0 B/op	       0 allocs/op
BenchmarkParallel/static/httprouter-20     	124230550	         2.752 ns/op	       0 B/op	       0 allocs/op
BenchmarkParallel/static/httprouter-20     	129404671	         2.787 ns/op	       0 B/op	       0 allocs/op
BenchmarkParallel/static/httprouter-http-20         	120379620	         3.005 ns/op	       0 B/op	       0 allocs/op
BenchmarkParallel/static/httprouter-http-20         	100000000	         3.102 ns/op	       0 B/op	       0 allocs/op
BenchmarkParallel/static/httprouter-http-20         	100000000	         3.020 ns/op	       0 B/op	       0 allocs/op
BenchmarkParallel/static/httprouter-http-20         	100000000	         3.316 ns/op	       0 B/op	       0 allocs/op
BenchmarkParallel/static/httprouter-http-20         	122554878	         2.905 ns/op	       0 B/op	       0 allocs/op
BenchmarkParallel/static/httprouter-http-20         	100000000	         3.043 ns/op	       0 B/op	       0 allocs/op
BenchmarkParallel/static/gin-20                     	73295482	         4.933 ns/op	       0 B/op	       0 allocs/op
BenchmarkParallel/static/gin-20                     	68890674	         4.707 ns/op	       0 B/op	       0 allocs/op
BenchmarkParallel/static/gin-20                     	78969568	         4.842 ns/op	       0 B/op	       0 allocs/op
BenchmarkParallel/static/gin-20                     	78258844	         4.738 ns/op	       0 B/op	       0 allocs/op
BenchmarkParallel/static/gin-20                     	70600264	         4.624 ns/op	       0 B/op	       0 allocs/op
BenchmarkParallel/static/gin-20                     	76969504	         5.054 ns/op	       0 B/op	       0 allocs/op
BenchmarkParallel/static/gin-http-20                	71822340	         4.999 ns/op	       0 B/op	       0 allocs/op
BenchmarkParallel/static/gin-http-20                	75657558	         4.906 ns/op	       0 B/op	       0 allocs/op
BenchmarkParallel/static/gin-http-20                	69402781	         4.924 ns/op	       0 B/op	       0 allocs/op
BenchmarkParallel/static/gin-http-20                	73771761	         4.882 ns/op	       0 B/op	       0 allocs/op
BenchmarkParallel/static/gin-http-20                	78080215	         4.741 ns/op	       0 B/op	       0 allocs/op
BenchmarkParallel/static/gin-http-20                	77757759	         4.885 ns/op	       0 B/op	       0 allocs/op
BenchmarkParallel/static/echo-20                    	74036126	         4.358 ns/op	       0 B/op	       0 allocs/op
BenchmarkParallel/static/echo-20                    	87161245	         4.170 ns/op	       0 B/op	       0 allocs/op
BenchmarkParallel/static/echo-20                    	85905178	         4.481 ns/op	       0 B/op	       0 allocs/op
BenchmarkParallel/static/echo-20                    	83934631	         4.448 ns/op	       0 B/op	       0 allocs/op
BenchmarkParallel/static/echo-20                    	87157045	         4.395 ns/op	       0 B/op	       0 allocs/op
BenchmarkParallel/static/echo-20                    	79351731	         4.633 ns/op	       0 B/op	       0 allocs/op
BenchmarkParallel/static/echo-http-20               	81333213	         4.678 ns/op	       0 B/op	       0 allocs/op
BenchmarkParallel/static/echo-http-20               	84806412	         4.516 ns/op	       0 B/op	       0 allocs/op
BenchmarkParallel/static/echo-http-20               	81190230	         4.797 ns/op	       0 B/op	       0 allocs/op
BenchmarkParallel/static/echo-http-20               	83401502	         4.734 ns/op	       0 B/op	       0 allocs/op
BenchmarkParallel/static/echo-http-20               	80872905	         4.670 ns/op	       0 B/op	       0 allocs/op
BenchmarkParallel/static/echo-http-20               	71695837	         4.638 ns/op	       0 B/op	       0 allocs/op
BenchmarkParallel/static/bunrouter-20               	 2885499	       117.7 ns/op	     416 B/op	       3 allocs/op
BenchmarkParallel/static/bunrouter-20               	 3083332	       116.6 ns/op	     416 B/op	       3 allocs/op
BenchmarkParallel/static/bunrouter-20               	 2991998	       120.4 ns/op	     416 B/op	       3 allocs/op
BenchmarkParallel/static/bunrouter-20               	 3037100	       119.1 ns/op	     416 B/op	       3 allocs/op
